Source ID,Domain,Secondary Domains,Category,Source Name,Source Owner,Canonical Level,Data Available,Coverage,Access Link,Access Method,Ingestion Type,Automation,Refresh Frequency,Authentication,Cost,Terms / Licensing,Priority,AI Processing,Entity Types,Business Value,Example Opportunity,Research Status,Last Verified,Owner / Analyst,Notes
GOV-0001,Government,,Procurement,SAM.gov Contract Opportunities,GSA,,"Federal solicitations, notices, amendments, deadlines, set-asides and attachments",US federal,https://open.gsa.gov/api/get-opportunities-public-api/,REST API,,Auto,,,,,P1,,,Very High,Find and monitor federal bid opportunities,Identified — validation pending,,,
GOV-0002,Government,,Procurement,SAM.gov Opportunities Data Services,GSA,,"Active, archived and versioned opportunity records",US federal,https://sam.gov/data-services/Contract%20Opportunities,Bulk download,,Auto,,,,,P1,,,Very High,Backfill opportunity history,Identified — validation pending,,,
GOV-0003,Government,,Entities,SAM.gov Entity API,GSA,,"UEI, CAGE, registration, business types and assertions",US federal,https://open.gsa.gov/api/entity-api/,REST API,,Auto,,,,,P1,,,High,Find contractors and registration changes,Identified — validation pending,,,
GOV-0004,Government,,Entities,SAM.gov Entity Public Extracts,GSA,,Public entity registration data,US federal,https://sam.gov/data-services/Entity%20Registration,Bulk download,,Auto,,,,,P1,,,High,Build contractor master records,Identified — validation pending,,,
GOV-0005,Government,,Compliance,SAM.gov Exclusions API,GSA,,"Federal exclusions, suspensions and debarments",US federal,https://open.gsa.gov/api/exclusions-api/,REST API,,Auto,,,,,P1,,,High,Screen counterparties,Identified — validation pending,,,
GOV-0006,Government,,Compliance,SAM.gov Exclusions Extracts,GSA,,Bulk exclusions records,US federal,https://sam.gov/data-services/Exclusions,Bulk download,,Auto,,,,,P1,,,High,Maintain exclusion history,Identified — validation pending,,,
GOV-0007,Government,,Assistance,SAM.gov Assistance Listings API,GSA,,Federal assistance programs and eligibility,US federal,https://open.gsa.gov/api/assistance-listings-api/,REST API,,Auto,,,,,P1,,,High,Match organizations to programs,Identified — validation pending,,,
GOV-0008,Government,,Awards,SAM.gov Contract Data,GSA,,Contract awards and modifications,US federal,https://sam.gov/content/contract-data,Portal / export,,Semi-auto,,,,,P2,,,Very High,Find incumbents and recompetes,Identified — validation pending,,,
GOV-0009,Government,,Spending,USAspending API,U.S. Treasury,,"Contracts, grants, loans, transactions, recipients and agencies",US federal,https://api.usaspending.gov/,REST API,,Auto,,,,,P1,,,Very High,Analyze award history and agency spend,Identified — validation pending,,,
GOV-0010,Government,,Spending,USAspending Download Center,U.S. Treasury,,"Award, transaction and subaward files",US federal,https://www.usaspending.gov/download_center/custom_award_data,Bulk download,,Auto,,,,,P1,,,Very High,Build historical spending warehouse,Identified — validation pending,,,
GOV-0011,Government,,Awards,FPDS Legacy,GSA,,Historical federal procurement data,US federal,https://www.fpds.gov/,Portal / bulk,,Semi-auto,,,,,P2,,,Very High,Research older award actions,Identified — validation pending,,,
