Catalog ID,Domain,Name,Source URL,Category,Description,Priority,Platform,Source Type
TMK-0001,trademarks,USPTO Trademark Search,https://tmsearch.uspto.gov/,search,Official United States federal trademark search portal.,urgent,government,website
TMK-0002,trademarks,USPTO TSDR API,https://developer.uspto.gov/api-catalog/tsdr-data-api,status,"Programmatic access to USPTO trademark status, prosecution documents, and images.",urgent,government,rest_api
TMK-0003,trademarks,USPTO Open Data Portal APIs,https://data.uspto.gov/apis,api,USPTO API catalog covering trademark and other intellectual-property datasets.,urgent,government,rest_api
TMK-0004,trademarks,USPTO Open Data Bulk Data Search API,https://data.uspto.gov/apis/bulk-data/search,bulk_data,"API for searching USPTO public bulk-data products, including trademark datasets.",high,government,rest_api
TMK-0005,trademarks,USPTO Trademark Bulk Data,https://www.uspto.gov/trademarks/apply/check-status-view-documents/trademark-bulk-data,bulk_data,"Official USPTO trademark application, registration, assignment, and proceeding bulk datasets.",high,government,bulk_download
TMK-0006,trademarks,USPTO Trademark Official Gazette,https://tmog.uspto.gov/,gazette,Weekly publication of marks approved for publication and opposition.,high,government,website
TMK-0007,trademarks,USPTO Trademark Assignment Search,https://assignment.uspto.gov/,assignments,Search recorded trademark assignments and ownership transfers.,high,government,website
TMK-0008,trademarks,USPTO TTABVUE,https://ttabvue.uspto.gov/ttabvue/,litigation,Trademark Trial and Appeal Board proceeding records and filings.,high,government,website
TMK-0009,trademarks,USPTO Trademark ID Manual,https://idm-tmng.uspto.gov/id-master-list-public.html,classification,USPTO acceptable identification of goods and services manual.,normal,government,website
TMK-0010,trademarks,USPTO Nice Classification,https://www.uspto.gov/trademarks/guides-and-manuals/nice-agreement-current-edition-version-general-remarks-class-headings,classification,Current Nice Classification guidance and class headings used by USPTO.,normal,government,website
TMK-0011,trademarks,WIPO Global Brand Database,https://branddb.wipo.int/,international_search,Search international and participating national trademark collections.,urgent,government,website
TMK-0012,trademarks,WIPO Madrid Monitor,https://www3.wipo.int/madrid/monitor/,international_registration,Track international trademark applications and registrations under the Madrid System.,urgent,government,website
TMK-0013,trademarks,WIPO Madrid System Gazette,https://www.wipo.int/en/web/madrid-system/gazette,gazette,Official publication of international trademark registrations and changes.,high,government,website
TMK-0014,trademarks,WIPO Madrid Goods and Services Manager,https://www.wipo.int/mgs/,classification,Multilingual classification tool for Madrid System goods and services.,normal,government,website
TMK-0015,trademarks,WIPO Trademark Database Portal,https://www.wipo.int/amc/en/trademark/,directory,Directory of national and regional online trademark databases.,high,government,website
TMK-0016,trademarks,WIPO IP Office Directory,https://www.wipo.int/en/web/country-profiles/directory-ip-offices,directory,Official directory of national and regional intellectual-property offices.,high,government,website
TMK-0017,trademarks,EUIPO Trademark Search API,https://dev.euipo.europa.eu/product/trademark-search_100,api,Official EUIPO REST API for searching EU trademark records.,urgent,government,rest_api
TMK-0018,trademarks,EUIPO API Portal,https://dev.euipo.europa.eu/,api,EUIPO developer portal for trademark and intellectual-property APIs.,high,government,website
TMK-0019,trademarks,EUIPO Search IP,https://www.euipo.europa.eu/en/search-ip,search,Official EUIPO search entry point for EU trade marks and designs.,urgent,government,website
TMK-0020,trademarks,TMview,https://www.tmdn.org/tmview/,international_search,Multi-office trademark search service operated through the EU Intellectual Property Network.,urgent,government,website
TMK-0021,trademarks,BOIP Trademarks Register,https://www.boip.int/en/trademarks-register,regional_registry,Official Benelux trademark register.,high,government,website
TMK-0022,trademarks,OAPI Trademark Services,https://oapi.int/en/,regional_registry,Regional intellectual-property office serving member states in Africa.,high,government,website
TMK-0023,trademarks,ARIPO Marks Services,https://www.aripo.org/,regional_registry,Regional intellectual-property organization providing trademark services under the Banjul Protocol.,high,government,website
TMK-0024,trademarks,GCC Patent Office and Trademark Information,https://www.gccpo.org/,regional_registry,Official Gulf Cooperation Council intellectual-property portal.,normal,government,website
TMK-0025,trademarks,UK IPO Trademark Search,https://trademarks.ipo.gov.uk/ipo-tmtext,national_registry,Official United Kingdom trademark search service.,high,government,website
TMK-0026,trademarks,UK Trade Marks Journal,https://www.gov.uk/government/collections/trade-marks-journal,gazette,Official weekly journal of UK trademark applications and notices.,normal,government,website
TMK-0027,trademarks,CIPO Trademark Database,https://ised-isde.canada.ca/cipo/trademark-search,national_registry,Official Canadian trademark search database.,high,government,website
TMK-0028,trademarks,Canadian Trademarks Journal,https://ised-isde.canada.ca/site/canadian-intellectual-property-office/en/trademarks/trademarks-journal,gazette,Official publication of Canadian trademark applications and notices.,normal,government,website
TMK-0029,trademarks,IP Australia Trade Mark Search,https://search.ipaustralia.gov.au/trademarks/search/quick,national_registry,Official Australian trademark search service.,high,government,website
TMK-0030,trademarks,Australian Official Journal of Trade Marks,https://pericles.ipaustralia.gov.au/ols/epublish/content/olsTrademarkPDFs.jsp,gazette,Official Australian trademark journal publications.,normal,government,website
TMK-0031,trademarks,IPONZ Trade Mark Search,https://app.iponz.govt.nz/app/Extra/IP/TM/Qbe.aspx?sid=638497103860530638,national_registry,Official New Zealand trademark search service.,normal,government,website
TMK-0032,trademarks,J-PlatPat,https://www.j-platpat.inpit.go.jp/,national_registry,"Official Japanese platform for trademark, patent, and design searches.",high,government,website
TMK-0033,trademarks,KIPRIS,https://eng.kipris.or.kr/,national_registry,Official Korean intellectual-property search service.,high,government,website
